distanta_bruta,intensitate,temperatura,distanta_reala
197.8,117,30.7,200
199.26,113,21.9,200
96.53,97,21.4,100
98.27,125,31.3,100
102.26,133,32.6,100
196.68,92,22.2,200
96.85,138,31.4,100
1004.02,161,33.1,1000
202.38,122,30.6,200
199.99,122,29.7,200
1039.91,61,32.7,1000
99.84,146,26.7,100
98.34,127,22.3,100
1518.17,119,31.3,1500
100.31,169,28.4,100
99.73,109,22.4,100
1002.02,86,26.5,1000
1000.65,107,31.5,1000
514.15,109,22.5,500
1003.69,112,26.9,1000
196.34,145,29.1,200
196.72,85,24.0,200
96.76,120,25.3,100
1511.09,108,20.2,1500
1539.75,180,22.4,1500
487.3,100,24.3,500
204.0,120,23.2,200
202.19,102,24.2,200
202.77,145,25.5,200
197.25,143,29.6,200
96.32,71,25.0,100
1465.01,135,26.3,1500
101.27,110,33.6,100
1040.88,146,32.4,1000
197.15,117,21.5,200
503.4,116,26.1,500
199.1,178,31.0,200
1512.22,154,23.2,1500
1513.32,128,24.2,1500
1000.92,108,33.4,1000
99.38,150,32.5,100
194.37,106,31.4,200
500.15,52,32.9,500
100.39,75,25.0,100
196.15,112,23.2,200
1528.22,63,35.0,1500
96.76,108,33.1,100
195.8,108,32.9,200
960.55,112,33.0,1000
1014.36,94,28.5,1000
193.26,105,31.7,200
995.26,84,28.4,1000
101.42,42,30.3,100
199.55,171,27.5,200
194.3,71,27.2,200
991.13,162,27.8,1000
205.88,128,28.3,200
511.25,131,27.2,500
486.68,114,33.5,500
196.96,136,32.7,200
1017.94,121,34.2,1000
504.31,106,20.1,500
508.43,112,26.5,500
99.64,141,30.6,100
203.56,99,22.4,200
1490.29,156,26.1,1500
203.77,101,24.5,200
1015.36,172,22.3,1000
494.07,132,30.7,500
502.95,59,25.5,500
199.58,117,31.6,200
967.36,135,23.6,1000
205.68,143,20.1,200
197.87,158,34.0,200
1007.8,116,30.6,1000
1510.27,147,27.5,1500
490.08,80,27.1,500
102.12,90,34.5,100
199.51,122,24.5,200
994.0,80,21.7,1000
502.06,143,30.3,500
980.15,181,23.1,1000
105.14,80,28.8,100
489.12,83,21.2,500
197.35,131,21.4,200
500.99,127,29.0,500
1501.62,65,25.2,1500
1530.85,149,27.7,1500
1010.39,137,23.9,1000
1526.08,112,31.4,1500
100.42,141,34.8,100
1001.31,99,25.1,1000
1530.83,133,22.7,1500
1005.81,140,31.4,1000
1468.54,136,27.6,1500
1530.79,169,27.0,1500
1511.06,76,27.6,1500
506.41,106,26.2,500
98.02,142,21.4,100
1010.33,93,20.7,1000
1487.25,73,28.9,1500
99.51,117,21.8,100
98.58,91,24.8,100
197.76,121,24.4,200
992.63,135,27.4,1000
1581.26,122,25.3,1500
501.43,65,23.0,500
1499.18,129,31.8,1500
998.23,48,20.7,1000
1503.76,101,28.5,1500
101.18,88,20.5,100
1498.61,136,21.3,1500
1447.23,111,34.3,1500
98.0,102,33.5,100
1502.15,116,29.7,1500
1028.88,191,30.8,1000
1483.49,117,24.8,1500
479.09,146,22.5,500
497.74,104,20.5,500
1558.72,172,23.0,1500
1006.96,101,25.3,1000
198.91,99,27.9,200
101.15,125,34.8,100
1019.14,124,21.0,1000
201.25,111,25.3,200
990.54,106,22.5,1000
510.62,63,23.0,500
1510.71,99,25.7,1500
493.97,56,24.3,500
101.29,145,26.7,100
1501.43,131,28.0,1500
990.23,140,31.8,1000
1485.34,106,26.9,1500
992.79,150,23.6,1000
201.6,134,26.9,200
1502.16,169,33.6,1500
100.13,96,27.8,100
1497.06,113,29.4,1500
1014.04,148,29.5,1000
101.82,148,32.7,100
488.51,79,28.1,500
507.29,80,27.3,500
1514.61,125,28.0,1500
506.57,122,20.3,500
198.25,110,25.9,200
494.51,186,24.2,500
504.57,136,26.7,500
1000.05,191,32.7,1000
487.85,173,32.1,500
101.07,111,28.2,100
